STATE,ER_AFAM_OBES,LAT,LON
ALABAMA,0.3469550796930393,32.806671,-86.79113
ARKANSAS,0.342176216638417,34.969704,-92.373123
DELAWARE,0.33871380801762935,39.318523,-75.507141
DISTRICT OF COLUMBIA,0.23900000000000002,38.9072,-77.0369
FLORIDA,0.2780697382353368,27.766279,-81.686783
GEORGIA,0.30049730106376854,33.040619,-83.643074
ILLINOIS,0.2728825923496975,40.349457,-88.986137
INDIANA,0.35873096647978675,39.849426,-86.258278
KANSAS,0.406024532912111,38.5266,-96.726486
KENTUCKY,0.31734059604741033,37.66814,-84.670067
LOUISIANA,0.3203205744702191,31.169546,-91.867805
MARYLAND,0.33041859096515547,39.063946,-76.802101
MASSACHUSETTS,0.21300000000000002,42.230171,-71.530106
MICHIGAN,0.3653456568947491,43.326618,-84.536095
MISSISSIPPI,0.35850992969938755,32.741646,-89.678696
MISSOURI,0.3224832094562716,38.456085,-92.288368
NEW JERSEY,0.2843691768084555,40.298904,-74.521011
NEW YORK,0.2563460534871566,42.165726,-74.948051
NORTH CAROLINA,0.29854077238840737,35.630066,-79.806419
OHIO,0.33725776800722257,40.388783,-82.764915
OKLAHOMA,0.3425638853582738,35.565342,-96.928917
PENNSYLVANIA,0.2875274811834837,40.590752,-77.209755
SOUTH CAROLINA,0.3327927060848817,33.856892,-80.945007
TENNESSEE,0.3310735370412391,35.747845,-86.692345
TEXAS,0.3167082010830171,31.054487,-97.563461
VIRGINIA,0.3206128545143373,37.769337,-78.169968
WISCONSIN,0.36100000000000004,44.268543,-89.616508
